id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker,stock_return,market_return,abnormal_return
83867,Andor,2022-09-21,134.8544,8.225,1397,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-21,NFLX,-4.415920830286343,-2.551497070290545,-1.8644237599957976
37606,The Amazing World of Gumball,2011-05-03,134.2968,8.493,1490,Netflix,8,TV Show,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-05-03,NFLX,-0.7654386852261154,-1.2103642880403,0.4449256028141847
1405,Dexter,2006-10-01,126.6542,8.2,4613,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-10-01,NFLX,1.709801186572142,1.418141817482631,0.291659369089511
1911,Bones,2005-09-13,125.5887,8.221,3253,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,NFLX,-0.6975880026615219,0.5450035147764374,-1.2425915174379591
67136,This Is Us,2016-09-20,128.7318,8.239,1492,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-20,NFLX,-2.351142553276081,1.165080734607974,-3.516223287884056
17610,NCIS: Los Angeles,2009-09-22,121.5331,7.536,1178,Netflix,8,TV Show,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-22,NFLX,-3.0798247221247057,-2.5455861398952666,-0.5342385822294391
4057,Criminal Minds,2005-09-22,124.948,8.312,3817,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-22,NFLX,2.3285246906597368,0.0551649032624276,2.2733597873973093
2316,The Office,2005-03-24,131.7228,8.579,4471,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-24,NFLX,-1.741017446313431,-0.0946658357422247,-1.6463516105712062
34307,Shameless,2011-01-09,120.0409,8.161,2874,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-09,NFLX,0.542897933397717,1.2766261813349085,-0.7337282479371915
1396,Breaking Bad,2008-01-20,119.1338,8.924,15439,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-01-20,NFLX,6.882606564158467,2.1442179004912245,4.7383886636672425
2288,Prison Break,2005-08-29,116.7391,8.08,5388,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-29,NFLX,-2.2333614378904,0.7679691406644126,-3.0013305785548123
73586,Yellowstone,2018-06-20,113.153,8.252,2727,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018-06-20,NFLX,-1.3604984391192052,-0.4495390934034692,-0.910959345715736
18165,The Vampire Diaries,2009-09-10,107.1713,8.318,9162,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-10,NFLX,-1.9310325988455457,-0.1350426341205072,-1.7959899647250384
5920,The Mentalist,2008-09-23,120.8285,8.4,3901,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-09-23,NFLX,4.249912027856364,2.108199613351198,2.1417124145051654
69478,The Handmaid's Tale,2017-04-26,108.7738,8.179,2857,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-26,NFLX,1.3518004954711869,-0.1361285080931118,1.4879290035642987
1433,American Dad!,2005-02-06,116.3339,6.972,2190,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-02-06,NFLX,-0.520415188651682,-0.8096711967811436,0.2892560081294616
31132,Regular Show,2010-09-06,108.3854,8.633,2083,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-06,NFLX,2.7434907608673136,1.130210312584935,1.6132804482823786
1402,The Walking Dead,2010-10-31,105.7678,8.1,16913,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-10-31,NFLX,2.4436877449299703,1.1465877504434194,1.297099994486551
1421,Modern Family,2009-09-23,102.8817,7.873,2935,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-23,NFLX,-1.259338706112837,-1.5543836954832018,0.2950449893703648
37680,Suits,2011-06-23,100.6148,8.226,5252,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-23,NFLX,0.4849060120639127,-1.172578794555902,1.657484806619815
71712,The Good Doctor,2017-09-25,104.1418,8.477,12531,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX,1.204141058379673,0.536722940092129,0.667418118287544
63174,Lucifer,2016-01-25,101.2828,8.45,14955,Netflix,8,TV Show,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-01-25,NFLX,-4.751814925302826,0.8673061179073552,-5.619121043210181
44217,Vikings,2013-03-03,99.4101,8.097,7143,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-03-03,NFLX,0.9547005898329232,1.066090367569954,-0.1113897777370308
2710,It's Always Sunny in Philadelphia,2005-08-04,102.5455,8.283,1148,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-04,NFLX,1.5988417106115265,-0.7638358323871648,2.362677542998691
95557,INVINCIBLE,2021-03-25,94.8963,8.636,4924,Netflix,8,TV Show,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-03-25,NFLX,1.0320969241125408,1.6631202604519693,-0.6310233363394284
1403,Marvel's Agents of S.H.I.E.L.D.,2013-09-24,96.4415,7.5,3569,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-24,NFLX,1.9282809544835644,-0.3340389413650153,2.26231989584858
34524,Teen Wolf,2011-06-05,93.8854,8.468,4385,Netflix,8,TV Show,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-06-05,NFLX,-0.1256689957157834,-0.5139277953703884,0.3882587996546048
71728,Young Sheldon,2017-09-25,90.3242,8.049,2689,Netflix,8,TV Show,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX,1.204141058379673,0.536722940092129,0.667418118287544
4194,Star Wars: The Clone Wars,2008-10-03,90.4403,8.461,2110,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-10-03,NFLX,-8.560558262662555,-3.851784119121029,-4.708774143541526
1620,CSI: Miami,2002-09-23,86.6312,7.7,1620,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2002-09-23,NFLX,10.04007440474445,2.548878456142211,7.49119594860224
44006,Chicago Fire,2012-10-10,93.5526,8.411,2250,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-10-10,NFLX,-1.786269746371568,-0.2771327281967277,-1.5091370181748405
1100,How I Met Your Mother,2005-09-19,91.6588,8.146,5190,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-19,NFLX,1.50408095321359,-1.332230520532666,2.8363114737462563
31917,Pretty Little Liars,2010-06-08,90.813,7.984,2652,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-06-08,NFLX,9.39000872266664,2.78719167475871,6.602817047907929
4194,Star Wars: The Clone Wars,2008-10-03,90.4403,8.461,2110,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-10-03,NFLX,-8.560558262662555,-3.851784119121029,-4.708774143541526
71728,Young Sheldon,2017-09-25,90.3242,8.049,2689,Netflix,8,TV Show,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-25,NFLX,1.204141058379673,0.536722940092129,0.667418118287544
15260,Adventure Time,2010-04-05,85.8204,8.496,2846,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-04-05,NFLX,2.3002817172232075,-0.0842147855339723,2.38449650275718
48891,Brooklyn Nine-Nine,2013-09-17,88.5908,8.21,3536,Netflix,8,TV Show,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-17,NFLX,4.7671438419218015,0.3020967399845647,4.465047101937237
111803,The White Lotus,2021-07-11,84.3288,7.622,1049,Netflix,8,TV Show,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-11,NFLX,1.9802376089749203,-0.2355974939981438,2.2158351029730645
111803,The White Lotus,2021-07-11,84.3288,7.622,1049,Netflix,8,TV Show,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021-07-11,NFLX,1.9802376089749203,-0.2355974939981438,2.2158351029730645
61923,Star vs. the Forces of Evil,2015-01-18,82.8478,8.362,1413,Netflix,8,TV Show,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-01-18,NFLX,17.339448354308644,0.4731623968765258,16.86628595743212
39351,Grimm,2011-10-28,82.0229,8.265,3304,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-10-28,NFLX,-2.4483087911631047,-2.473750308360319,0.0254415171972142
74016,The Resident,2018-01-21,82.3444,8.419,1241,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-21,NFLX,14.816761442398745,0.1613172185598825,14.65544422383886
108978,Reacher,2022-02-03,76.6448,8.11,2271,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-03,NFLX,1.126727627083026,0.5156929864423389,0.6110346406406871
76479,The Boys,2019-07-25,77.3852,8.5,10946,Netflix,8,TV Show,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-07-25,NFLX,2.85486968331959,0.7387691099234726,2.1161005733961176
1418,The Big Bang Theory,2007-09-24,78.7303,7.908,11663,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2007-09-24,NFLX,10.730979342813503,0.8993710732291589,9.831608269584343
77169,Cobra Kai,2018-05-02,74.4391,8.213,6580,Netflix,8,TV Show,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-05-02,NFLX,2.1476931647088384,1.0528632500483526,1.0948299146604858
1419,Castle,2009-03-09,76.8312,7.995,1926,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-03-09,NFLX,3.7921992215243256,10.96920428123896,-7.177005059714633
39272,Once Upon a Time,2011-10-23,75.0714,7.378,2313,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-10-23,NFLX,-33.187475620475745,-0.971937423814939,-32.21553819666081
95479,Jujutsu Kaisen,2020-10-03,65.7763,8.58,3831,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-10-03,NFLX,-2.838764737120369,-1.397351569222668,-1.4414131678977016
100088,The Last of Us,2023-01-15,451.8147,8.581,5700,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-15,DIS,-0.8707905515336666,-1.5562598500411051,0.6854692985074388
1416,Grey's Anatomy,2005-03-27,281.2538,8.228,10468,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-27,DIS,0.638997271534837,0.6071809708866241,0.0318163006482128
79744,The Rookie,2018-10-16,228.0813,8.516,2390,Disney+,337,TV Show,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-16,DIS,2.332391743246298,-1.4996830425689125,3.83207478581521
60735,The Flash,2014-10-07,195.6986,7.773,11262,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-10-07,DIS,-0.964309786108436,-1.4970787591660764,0.5327689730576404
1622,Supernatural,2005-09-13,194.6585,8.297,7786,Disney+,337,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,DIS,-2.8214432408623806,0.5450035147764374,-3.366446755638818
1399,Game of Thrones,2011-04-17,180.8056,8.5,24898,Disney+,337,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-04-17,DIS,2.0388311792686062,1.9323574804285228,0.1064736988400834
2691,Two and a Half Men,2003-09-22,171.0991,7.45,3373,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-22,DIS,1.4992433330966763,-1.9113810497423809,3.410624382839057
65334,Miraculous: Tales of Ladybug & Cat Noir,2015-10-19,165.6643,8.049,4457,Disney+,337,TV Show,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-19,DIS,3.452985303226788,0.9268990524043498,2.5260862508224378
4614,NCIS,2003-09-23,167.9212,7.6,2340,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-23,DIS,-0.5940398161005547,-3.127222024115835,2.53318220801528
42009,Black Mirror,2011-12-04,158.1741,8.3,5433,Disney+,337,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-12-04,DIS,0.4331165000397131,0.3126335514307197,0.1204829486089934
57243,Doctor Who,2005-03-26,160.6618,7.5,3103,Disney+,337,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-26,DIS,-0.9584536958297007,-0.7596181253847573,-0.1988355704449435
44953,El Señor de los Cielos,2013-04-15,172.8835,7.92,3299,Disney+,337,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-04-15,DIS,1.885192294303552,-0.6924940156561334,2.5776863099596854
127532,Solo Leveling,2024-01-07,146.169,8.6,1096,Disney+,337,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-07,DIS,-2.4685999023532266,0.4179697470102186,-2.8865696493634454
46952,The Blacklist,2013-09-23,148.0615,7.633,3254,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-23,DIS,0.7567599058499852,-0.1862643925788903,0.9430242984288756
78191,You,2018-09-09,141.8892,8.044,3360,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-09,DIS,-1.1022819626283784,0.4097847348822085,-1.512066697510587
71790,S.W.A.T.,2017-11-02,137.2258,8.099,1463,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-02,DIS,0.294871119651462,0.309707538497441,-0.0148364188459789
32798,Hawaii Five-0,2010-09-20,138.0731,7.758,1761,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-20,DIS,-5.100299422402315,-1.56470193610139,-3.5355974863009245
83867,Andor,2022-09-21,134.8544,8.225,1397,Disney+,337,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-21,DIS,-4.775569654919565,-2.551497070290545,-2.22407258462902
37606,The Amazing World of Gumball,2011-05-03,134.2968,8.493,1490,Disney+,337,TV Show,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-05-03,DIS,-0.0232164000650059,-1.2103642880403,1.187147887975294
1405,Dexter,2006-10-01,126.6542,8.2,4613,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-10-01,DIS,2.1617883981836195,1.418141817482631,0.7436465807009884
1911,Bones,2005-09-13,125.5887,8.221,3253,Disney+,337,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,DIS,-2.8214432408623806,0.5450035147764374,-3.366446755638818
67136,This Is Us,2016-09-20,128.7318,8.239,1492,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-20,DIS,0.3442716440728563,1.165080734607974,-0.8208090905351177
1431,CSI: Crime Scene Investigation,2000-10-06,125.3418,7.636,1280,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-10-06,DIS,0.6144633588938053,-0.4939680896059639,1.1084314484997693
17610,NCIS: Los Angeles,2009-09-22,121.5331,7.536,1178,Disney+,337,TV Show,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-22,DIS,-2.67793650542817,-2.5455861398952666,-0.1323503655329032
4057,Criminal Minds,2005-09-22,124.948,8.312,3817,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-22,DIS,-0.0430388675577131,0.0551649032624276,-0.0982037708201408
2316,The Office,2005-03-24,131.7228,8.579,4471,Disney+,337,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-24,DIS,-0.1080032404396469,-0.0946658357422247,-0.0133374046974221
34307,Shameless,2011-01-09,120.0409,8.161,2874,Disney+,337,TV Show,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-01-09,DIS,-0.8354294755249607,1.2766261813349085,-2.1120556568598694
1396,Breaking Bad,2008-01-20,119.1338,8.924,15439,Disney+,337,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-01-20,DIS,1.4225027731564124,2.1442179004912245,-0.7217151273348121
2288,Prison Break,2005-08-29,116.7391,8.08,5388,Disney+,337,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-08-29,DIS,-2.6035361071299947,0.7679691406644126,-3.371505247794407
73586,Yellowstone,2018-06-20,113.153,8.252,2727,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2018-06-20,DIS,-0.7559475772380092,-0.4495390934034692,-0.3064084838345399
18165,The Vampire Diaries,2009-09-10,107.1713,8.318,9162,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-10,DIS,0.2115474129898097,-0.1350426341205072,0.346590047110317
5920,The Mentalist,2008-09-23,120.8285,8.4,3901,Disney+,337,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008-09-23,DIS,0.6762763896504482,2.108199613351198,-1.43192322370075
69478,The Handmaid's Tale,2017-04-26,108.7738,8.179,2857,Disney+,337,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-04-26,DIS,0.0172990737703265,-0.1361285080931118,0.1534275818634383
1433,American Dad!,2005-02-06,116.3339,6.972,2190,Disney+,337,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-02-06,DIS,-1.773760352367509,-0.8096711967811436,-0.9640891555863652
31132,Regular Show,2010-09-06,108.3854,8.633,2083,Disney+,337,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-06,DIS,0.709223435581721,1.130210312584935,-0.420986877003214
